# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 322K of event 'cycles:u'
# Event count (approx.): 244462760731
#
# Overhead  Command  Shared Object               Symbol                                              
# ........  .......  ..........................  ....................................................
#
     0.00%  spindec  libopen-pal.so.40.30.2      [.] register_variable
     0.00%  spindec  libnetcdf.so.19             [.] ferror@plt
     0.00%  orted    mca_pmix_pmix3x.so          [.] select@plt
     0.00%  spindec  spindec                     [.] _gfortran_random_r8@plt
     0.00%  spindec  libfftw3.so.3.6.10          [.] fftw_hash
     0.00%  spindec  libfftw3.so.3.6.10          [.] fftw_solver_use
     0.00%  orted    mca_gds_hash.so             [.] _init
     0.00%  spindec  libmpi.so.40.30.3           [.] ompi_comm_assert_subscribe
     0.00%  spindec  ld-linux-x86-64.so.2        [.] _dl_debug_state
     0.00%  spindec  mca_btl_vader.so            [.] mca_btl_vader_component_open
     0.00%  orted    mca_pmix_pmix3x.so          [.] var_constructor
     0.00%  spindec  libgfortran.so.5.0.0        [.] _gfortran_st_set_nml_var_dim
     0.00%  spindec  libc.so.6                   [.] _dl_catch_exception
     0.00%  orted    libevent_core-2.1.so.7.0.1  [.] event_assign
     0.00%  orted    mca_pmix_pmix3x.so          [.] prcon
     0.00%  orted    ld-linux-x86-64.so.2        [.] __tunable_get_val
     0.00%  orted    libhwloc.so.15.5.2          [.] hwloc__filter_bridges
     0.00%  orted    mca_pmix_pmix3x.so          [.] pmix_util_keyval_yylex
     0.00%  spindec  ld-linux-x86-64.so.2        [.] __nptl_change_stack_perm
     0.00%  orted    libc.so.6                   [.] _IO_default_xsputn
     0.00%  spindec  ld-linux-x86-64.so.2        [.] _dl_find_dso_for_object
     0.00%  orted    mca_pmix_pmix3x.so          [.] op_cbfunc2
     0.00%  spindec  mca_ess_singleton.so        [.] rte_init
     0.00%  orted    libopen-pal.so.40.30.2      [.] mca_base_component_var_register
     0.00%  spindec  libc.so.6                   [.] _IO_default_xsputn
     0.00%  spindec  libc.so.6                   [.] usleep
     0.00%  spindec  libc.so.6                   [.] __libc_scratch_buffer_set_array_size
     0.00%  orted    mca_pmix_pmix3x.so          [.] _init
     0.00%  orted    libopen-pal.so.40.30.2      [.] mca_base_var_generate_full_name4
     0.00%  spindec  libopen-pal.so.40.30.2      [.] mca_base_var_generate_full_name4
     0.00%  spindec  libc.so.6                   [.] setlinebuf
     0.00%  orted    ld-linux-x86-64.so.2        [.] 0x0000000000002320
     0.00%  orted    libc.so.6                   [.] __fdelt_warn
     0.00%  orted    libopen-pal.so.40.30.2      [.] opal_hash_table_set_value_ptr
     0.00%  spindec  libc.so.6                   [.] pthread_condattr_setpshared
     0.00%  spindec  libc.so.6                   [.] __ctype_init
     0.00%  spindec  libevent_core-2.1.so.7.0.1  [.] event_active_nolock_
     0.00%  spindec  libc.so.6                   [.] __sched_cpufree
     0.00%  orted    libc.so.6                   [.] sched_setaffinity
     0.00%  spindec  libhwloc.so.15.5.2          [.] look_proc.isra.8
     0.00%  spindec  libc.so.6                   [.] __sigsetjmp
     0.00%  orted    libc.so.6                   [.] __clone
     0.00%  spindec  libc.so.6                   [.] _Fork
     0.00%  orted    libc.so.6                   [.] select
     0.00%  spindec  libc.so.6                   [.] sched_setaffinity


#
# (Tip: To record every process run by a user: perf record -u <user>)
#
